,Div,HomeTeam,AwayTeam,Date,
153,SC2,Kelty Hearts,Stenhousemuir,11/01/2025,
154,SC2,Montrose,Alloa,08/02/2025,
155,SC2,Montrose,Annan Athletic,22/03/2025,
156,SC2,Montrose,Arbroath,05/04/2025,
157,SC2,Montrose,Cove Rangers,15/03/2025,
158,SC2,Montrose,Dumbarton,19/04/2025,
159,SC2,Montrose,Inverness C,03/05/2025,
160,SC2,Montrose,Kelty Hearts,04/01/2025,
161,SC2,Montrose,Queen of Sth,22/02/2025,
162,SC2,Montrose,Stenhousemuir,01/02/2025,
163,SC2,Queen of Sth,Alloa,15/03/2025,
164,SC2,Queen of Sth,Annan Athletic,28/12/2024,
165,SC2,Queen of Sth,Arbroath,15/02/2025,
166,SC2,Queen of Sth,Cove Rangers,04/01/2025,
167,SC2,Queen of Sth,Dumbarton,25/01/2025,
168,SC2,Queen of Sth,Inverness C,29/03/2025,
169,SC2,Queen of Sth,Kelty Hearts,01/03/2025,
170,SC2,Queen of Sth,Montrose,12/04/2025,
171,SC2,Queen of Sth,Stenhousemuir,26/04/2025,
172,SC2,Stenhousemuir,Alloa,05/04/2025,
173,SC2,Stenhousemuir,Annan Athletic,04/01/2025,
174,SC2,Stenhousemuir,Arbroath,22/02/2025,
175,SC2,Stenhousemuir,Cove Rangers,25/01/2025,
176,SC2,Stenhousemuir,Dumbarton,03/05/2025,
177,SC2,Stenhousemuir,Inverness C,19/04/2025,
178,SC2,Stenhousemuir,Kelty Hearts,15/03/2025,
179,SC2,Stenhousemuir,Montrose,29/03/2025,
180,SC2,Stenhousemuir,Queen of Sth,08/02/2025,
